letter,english-american,english-britannic,italian,portoguese,spanish
b,0.01598669648987353,0.016690478484969417,0.008726335889646152,0.010701072662402548,0.012269483704747564
e,0.12039835909344485,0.1204320958027126,0.11383226924928311,0.1221595685562916,0.13281534056034136
h,0.04862459678758845,0.049437853111639445,0.008212809437783032,0.007717596394775591,0.008780753925133639
k,0.008165201688704028,0.008324202900841075,4.7439276405232935E-4,7.369625503143815E-4,8.298821194251908E-4
n,0.07181923012277931,0.07074523322054423,0.07338821856244372,0.05298775502350029,0.07246679936196739
q,0.001002497594046786,8.897798310772235E-4,0.0030907781915218437,0.008822200359313912,0.00931052188101225
t,0.08905173779436686,0.08921563402313239,0.06950878451511064,0.047477258742672966,0.044613228819246856
w,0.018136497497279507,0.019126277158053057,4.4590230706747515E-4,5.850003260764608E-4,4.2461010475358863E-4
z,0.0012579896146924857,8.534863880735301E-4,0.012794342888815905,0.0035841382768517726,0.003788393326538291
c,0.03173606107825735,0.030636826761339827,0.043186211173626046,0.04233438210861559,0.044722281534974734
f,0.021577247410272483,0.02162984125924057,0.011054561503796426,0.011412933710353375,0.007862938687638751
i,0.0730004731033631,0.07401636226134149,0.11961530362986256,0.07069073921664273,0.06774253120152454
l,0.04118367426593882,0.042474677570582015,0.06387258048603635,0.0291955468781132,0.05732771565076727
o,0.07401171816323303,0.07445041900724154,0.09043606543307343,0.10758742629431241,0.08951197391937182
r,0.06542819855489064,0.06273964174280258,0.06580288325123075,0.06860752856709872,0.06558303662179103
u,0.025982389175684732,0.027843105742712974,0.02824928118562874,0.03827255705387552,0.041071165593214616
x,0.001906937546625018,0.0019507562884469132,2.239749040165515E-4,0.002551765980482024,0.0018209871813438794
a,0.08569073536139102,0.08399476226941663,0.1124428369811057,0.13945596210419767,0.1261602640093625
d,0.03913706234650485,0.03761151428867411,0.03817027255804467,0.05488975524645706,0.05188908041803096
g,0.02058711330136852,0.021920723487608502,0.01743825435313802,0.011964814855178661,0.01147853975189461
j,0.002267354144459782,0.002016513163210074,1.247890507876104E-4,0.0033074231458678593,0.0045215395845761164
m,0.026689263436470108,0.0252825070956215,0.025043946730403263,0.0438145508406315,0.026517544655137913
p,0.020368611707954357,0.02097811684389895,0.02910301832213316,0.02963279698229949,0.0277053351397727
s,0.06816402975834858,0.06756072769199419,0.04911677413184638,0.07701360413632707,0.07247583614647643
v,0.010253860460725274,0.010814032588675665,0.015290713622588166,0.013671531992541367,0.009981874278220896
y,0.017572463501736503,0.018350236309322664,3.481176238541826E-4,7.2237110032071E-4,0.008283021667257539